claim_id,case_id,claim,judgment,workflow_action,known_limit,evidence_scope,recorded_at,reviewer,review_basis,subsequent_note
SU-CONCENTRATION:preservation,SU-CONCENTRATION,"The audited conversion did not introduce the high category concentrations in GAD_1, ISI_1 and PHQ_3.",supported_scoped,retain_responses; warn_nonblocking; no_reprocessing; no_reupload,Preprocessing or imputation before the raw exports remains unverified.,pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,"2026-09-07 handoff: pre-export processing remains a known limit, not a new investigation task, following the #1728 reply."
SU-CONCENTRATION:causal_interpretation,SU-CONCENTRATION,A category exceeding 60% directly establishes mean imputation.,unsupported_interpretation,describe_high_category_concentration; do_not_infer_imputation,Concentration is observed; the proposed imputation mechanism is not established.,pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,"2026-09-07 handoff: pre-export processing remains a known limit, not a new investigation task, following the #1728 reply."
SU-CONVERSION:historical_defect,SU-CONVERSION,The archived repository script exited 0 while producing only PHQ-9 rather than all expected conversion outputs.,supported_scoped,repair_repository_workflow; no_data_reupload,Successful process exit does not prove pipeline completeness; no fresh R execution in this pilot.,historical repository state in saved reproduction evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
SU-CONVERSION:repair_snapshot,SU-CONVERSION,The repair is implemented in the pinned #1993 revision; it is not an assertion of merged main.,supported_scoped,retain_existing_repair; pending_review_merge_as_of_saved_snapshot,Current remote PR/main status has not been rechecked in this endorsement task.,PR #1993 closeout f34ee7fc8865dd424106a7d23db55dbe2486c4c9 and saved status only,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,Ben merged #1993 at 2026-09-06T03:40:57Z; the earlier review concerned the pinned pre-merge evidence. The repair is complete.
SU-RT:units,SU-RT,The source documentation identifies the released RT fields as seconds.,conditionally_supported_scoped,preserve_source_units; hold_independent_source_review_completion,"Archived source evidence exists; Sinew has not reported personal inspection of Methods, field mapping and file identities.",pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,The paper and merged #1993 document seconds. The historical conditional review did not record an independent source walk-through; this handoff does not create a new RT-unit task.
SU-RT:preservation,SU-RT,The fixed record-level audit supports preservation of source RT values without automatic rescaling.,supported_scoped,retain_RT_values; no_automatic_rescaling,"Acceptance relies on the fixed prior audit, not a newly executed raw-data comparison.",pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
SU-RT:anomaly_validity,SU-RT,The ISI zero times and long-tail RT values have established measurement validity.,needs_evidence,retain_source_values; review_anomalies; no_automatic_deletion_winsorization_or_rescaling,Documented units do not establish the meaning or measurement validity of anomalous times.,pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
SU-RT:pss_storage_scoring_mapping,SU-RT,A verified mapping connects released PSS storage codes to the supplementary scoring description.,needs_evidence,retain_PSS_storage_codes; hold_recoding_and_total_score_interpretation,Observed source values 1–5 do not establish their mapping to scoring; this is a separate claim from RT.,pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
NGUYEN-BARTHEL:heterogeneity,NGUYEN-BARTHEL,Heterogeneous observed item supports alone are insufficient evidence of invalid values or distinct constructs.,supported_scoped,retain_values; advisory_warning_or_review; no_width_only_rejection,"This accepts the insufficiency of width evidence, not the validity of every Barthel value.",pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
NGUYEN-BARTHEL:itemwise_validity,NGUYEN-BARTHEL,Every observed value complies with the study-specific Barthel item codebook.,needs_evidence,request_study_specific_itemwise_categories; hold_complete_permitted_value_certification,"Study version, allowed values, recoding, special missing codes and implementation differences remain incompletely documented.",pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
NGUYEN-MSPSS:permitted_membership,NGUYEN-MSPSS,The observed MSPSS responses are subsets of the documented permitted set 1–7 for all twelve items.,supported_scoped,permitted_range_check_PASS; dataset_certification_not_assessed; retain_responses,"This does not validate missingness, scoring, all provenance fields or psychometric distributional adequacy.",pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
NGUYEN-METADATA:snapshot_completeness,NGUYEN-METADATA,The saved UTC snapshot contains the five Dictionary rows and five Tags rows.,supported_scoped,accept_completeness_as_of_snapshot,Existence does not establish semantic accuracy or current live state.,pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
NGUYEN-METADATA:barthel_construct,NGUYEN-METADATA,The saved Barthel Construct type overclassifies the measured construct; the supported tag is Physical health/functioning.,supported_scoped,correction_required_in_snapshot; check_current_state_before_edit,The historical I2535 assessment does not establish that this cell still needs correction today.,pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
NGUYEN-METADATA:gad7_construct,NGUYEN-METADATA,The saved GAD-7 Construct type should identify Affective/mental health rather than physical functional capacity.,supported_scoped,correction_required_in_snapshot; check_current_state_before_edit,The historical I2536 assessment does not establish that this cell still needs correction today.,pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
NGUYEN-METADATA:barthel_administration,NGUYEN-METADATA,Study-specific evidence establishes Survey/questionnaire as the Barthel administration method.,needs_evidence,blank_unsupported_field_or_supply_study_evidence; check_current_state_before_edit,"The historical J2535 entry may be true, but this study-specific assertion is unsupported by the available documentation.",pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
NGUYEN-METADATA:clinical_sample,NGUYEN-METADATA,Clinical-only sample tags can be defensible narrower classifications in the saved rows.,supported_scoped,retain_intentional_defensible_classification; do_not_force_proposal_equality,Completeness under a richer taxonomy is separate from whether the entered tag is true.,pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
NGUYEN-METADATA:isi_construct,NGUYEN-METADATA,The saved ISI mental-health-only classification is a defensible narrower judgment.,supported_scoped,retain_intentional_defensible_classification; do_not_force_proposal_equality,A broader classification can also be defensible; mismatch with the proposal is not itself proof of error.,pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
NGUYEN-METADATA:current_action,NGUYEN-METADATA,The same metadata changes are still required in the current live state.,needs_current_state,read_current_repository_branch_online_metadata_and_issue_PR_state_before_mutation,No live refresh is part of recording this endorsement.,current state not verified,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,
MIXED-FORMAT:tested_composition_symmetry,MIXED-FORMAT,The selected response-range finding remains a nested-support warning across the three tested MC/CR majority/tie fixtures.,supported_scoped,nonblocking_WARN_for_selected_checks; retain_synthetic_regression_fixture,"Single construct is stipulated. This is not invariance of all validator outputs or arbitrary datasets, nor evidence about real instruments.",pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,Historical synthetic regression appendix; excluded from future real-table alert-rate evaluation.
PERMITTED-VIOLATION:valid_boundary,PERMITTED-VIOLATION,"The synthetic {1,7} frame complies with its supplied allowed set 1–7.",supported_scoped,no_permitted_range_violation_for_7,"The allowance is a synthetic fixture contract, not an empirical real-world codebook validation.",pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,Historical synthetic regression appendix; excluded from future real-table alert-rate evaluation.
PERMITTED-VIOLATION:known_violation,PERMITTED-VIOLATION,"The synthetic {1,8} frame contradicts its supplied allowed set 1–7.",supported_scoped,FAIL_error_selected_check_for_8_in_triage_upload_strict_false; no_silent_correction_or_deletion,Selected-check blocking follows the recorded profile. It does not establish permanent rejection of a whole real dataset.,pinned pilot evidence,2026-09-06T03:42:43.933756+00:00,Sinew,Recorded assessment adopted by Sinew; not independent reference labeling. Recording time is not source-reading time.,Historical synthetic regression appendix; excluded from future real-table alert-rate evaluation.
