case_id,variant,revision,profile,strict,check,raw_status,effective_severity,target_check_blocking
SU-CONCENTRATION,GAD_1,baseline,triage,False,imputed_values*,warn,warn,False
SU-CONCENTRATION,GAD_1,baseline,upload,False,imputed_values*,warn,warn,False
SU-CONCENTRATION,GAD_1,draft_1697,triage,False,imputed_values*,warn,warn,False
SU-CONCENTRATION,GAD_1,draft_1697,upload,False,imputed_values*,warn,warn,False
SU-CONCENTRATION,ISI_1,baseline,triage,False,imputed_values*,warn,warn,False
SU-CONCENTRATION,ISI_1,baseline,upload,False,imputed_values*,warn,warn,False
SU-CONCENTRATION,ISI_1,draft_1697,triage,False,imputed_values*,warn,warn,False
SU-CONCENTRATION,ISI_1,draft_1697,upload,False,imputed_values*,warn,warn,False
SU-CONCENTRATION,PHQ_3,baseline,triage,False,imputed_values*,warn,warn,False
SU-CONCENTRATION,PHQ_3,baseline,upload,False,imputed_values*,warn,warn,False
SU-CONCENTRATION,PHQ_3,draft_1697,triage,False,imputed_values*,warn,warn,False
SU-CONCENTRATION,PHQ_3,draft_1697,upload,False,imputed_values*,warn,warn,False
NGUYEN-BARTHEL,no_codebook_context,baseline,triage,False,resp_scale_mixed,fail,error,True
NGUYEN-BARTHEL,no_codebook_context,baseline,upload,False,resp_scale_mixed,fail,warn,False
NGUYEN-BARTHEL,no_codebook_context,draft_1697,triage,False,resp_scale_nested_support,warn,warn,False
NGUYEN-BARTHEL,no_codebook_context,draft_1697,upload,False,resp_scale_nested_support,warn,warn,False
NGUYEN-MSPSS,no_codebook_context,baseline,triage,False,resp_scale_mixed,fail,error,True
NGUYEN-MSPSS,no_codebook_context,baseline,upload,False,resp_scale_mixed,fail,warn,False
NGUYEN-MSPSS,no_codebook_context,draft_1697,triage,False,resp_scale_nested_support,warn,warn,False
NGUYEN-MSPSS,no_codebook_context,draft_1697,upload,False,resp_scale_nested_support,warn,warn,False
NGUYEN-MSPSS,documented_1_to_7,draft_1697,triage,False,none_emitted,not_emitted,,False
NGUYEN-MSPSS,documented_1_to_7,draft_1697,upload,False,none_emitted,not_emitted,,False
MIXED-FORMAT,mc_20_cr_5,baseline,triage,False,resp_scale_mixed,fail,error,True
MIXED-FORMAT,mc_20_cr_5,baseline,upload,False,resp_scale_mixed,fail,warn,False
MIXED-FORMAT,mc_20_cr_5,draft_1697,triage,False,resp_scale_nested_support,warn,warn,False
MIXED-FORMAT,mc_20_cr_5,draft_1697,upload,False,resp_scale_nested_support,warn,warn,False
MIXED-FORMAT,mc_5_cr_20,baseline,triage,False,none_emitted,not_emitted,,False
MIXED-FORMAT,mc_5_cr_20,baseline,upload,False,none_emitted,not_emitted,,False
MIXED-FORMAT,mc_5_cr_20,draft_1697,triage,False,resp_scale_nested_support,warn,warn,False
MIXED-FORMAT,mc_5_cr_20,draft_1697,upload,False,resp_scale_nested_support,warn,warn,False
MIXED-FORMAT,mc_5_cr_5,baseline,triage,False,none_emitted,not_emitted,,False
MIXED-FORMAT,mc_5_cr_5,baseline,upload,False,none_emitted,not_emitted,,False
MIXED-FORMAT,mc_5_cr_5,draft_1697,triage,False,resp_scale_nested_support,warn,warn,False
MIXED-FORMAT,mc_5_cr_5,draft_1697,upload,False,resp_scale_nested_support,warn,warn,False
PERMITTED-VIOLATION,observed_7_allowed_1_to_7,draft_1697,triage,False,none_emitted,not_emitted,,False
PERMITTED-VIOLATION,observed_7_allowed_1_to_7,draft_1697,upload,False,none_emitted,not_emitted,,False
PERMITTED-VIOLATION,observed_8_allowed_1_to_7,draft_1697,triage,False,resp_outside_permitted,fail,error,True
PERMITTED-VIOLATION,observed_8_allowed_1_to_7,draft_1697,upload,False,resp_outside_permitted,fail,error,True
