dataset,item,response,raw_n,revised_n
gad7,GAD_1,0,15687,15687
gad7,GAD_1,1,7903,7903
gad7,GAD_1,2,502,502
gad7,GAD_1,3,200,200
gad7,GAD_2,0,18359,18359
gad7,GAD_2,1,5302,5302
gad7,GAD_2,2,404,404
gad7,GAD_2,3,227,227
gad7,GAD_3,0,16904,16904
gad7,GAD_3,1,6585,6585
gad7,GAD_3,2,481,481
gad7,GAD_3,3,322,322
gad7,GAD_4,0,19053,19053
gad7,GAD_4,1,4621,4621
gad7,GAD_4,2,365,365
gad7,GAD_4,3,253,253
gad7,GAD_5,0,20789,20789
gad7,GAD_5,1,3200,3200
gad7,GAD_5,2,201,201
gad7,GAD_5,3,102,102
gad7,GAD_6,0,18158,18158
gad7,GAD_6,1,5522,5522
gad7,GAD_6,2,401,401
gad7,GAD_6,3,211,211
gad7,GAD_7,0,20124,20124
gad7,GAD_7,1,3765,3765
gad7,GAD_7,2,262,262
gad7,GAD_7,3,141,141
isi,ISI_1,0,17036,17036
isi,ISI_1,1,5478,5478
isi,ISI_1,2,1289,1289
isi,ISI_1,3,389,389
isi,ISI_1,4,100,100
isi,ISI_2,0,19974,19974
isi,ISI_2,1,3152,3152
isi,ISI_2,2,929,929
isi,ISI_2,3,177,177
isi,ISI_2,4,60,60
isi,ISI_3,0,19940,19940
isi,ISI_3,1,3305,3305
isi,ISI_3,2,792,792
isi,ISI_3,3,203,203
isi,ISI_3,4,52,52
isi,ISI_4,0,12200,12200
isi,ISI_4,1,8574,8574
isi,ISI_4,2,2927,2927
isi,ISI_4,3,393,393
isi,ISI_4,4,198,198
isi,ISI_5,0,13394,13394
isi,ISI_5,1,9222,9222
isi,ISI_5,2,1304,1304
isi,ISI_5,3,275,275
isi,ISI_5,4,97,97
isi,ISI_6,0,18197,18197
isi,ISI_6,1,4927,4927
isi,ISI_6,2,920,920
isi,ISI_6,3,170,170
isi,ISI_6,4,78,78
isi,ISI_7,0,16562,16562
isi,ISI_7,1,6564,6564
isi,ISI_7,2,837,837
isi,ISI_7,3,222,222
isi,ISI_7,4,107,107
phq9,PHQ_1,0,12843,12843
phq9,PHQ_1,1,10248,10248
phq9,PHQ_1,2,813,813
phq9,PHQ_1,3,388,388
phq9,PHQ_2,0,13860,13860
phq9,PHQ_2,1,9756,9756
phq9,PHQ_2,2,501,501
phq9,PHQ_2,3,175,175
phq9,PHQ_3,0,15558,15558
phq9,PHQ_3,1,7212,7212
phq9,PHQ_3,2,1031,1031
phq9,PHQ_3,3,491,491
phq9,PHQ_4,0,13750,13750
phq9,PHQ_4,1,9403,9403
phq9,PHQ_4,2,809,809
phq9,PHQ_4,3,330,330
phq9,PHQ_5,0,17306,17306
phq9,PHQ_5,1,6011,6011
phq9,PHQ_5,2,680,680
phq9,PHQ_5,3,295,295
phq9,PHQ_6,0,16182,16182
phq9,PHQ_6,1,7075,7075
phq9,PHQ_6,2,767,767
phq9,PHQ_6,3,268,268
phq9,PHQ_7,0,17246,17246
phq9,PHQ_7,1,5888,5888
phq9,PHQ_7,2,858,858
phq9,PHQ_7,3,300,300
phq9,PHQ_8,0,20797,20797
phq9,PHQ_8,1,3105,3105
phq9,PHQ_8,2,279,279
phq9,PHQ_8,3,111,111
phq9,PHQ_9,0,22447,22447
phq9,PHQ_9,1,1666,1666
phq9,PHQ_9,2,118,118
phq9,PHQ_9,3,61,61
pss14,PSS_1,1,11119,11119
pss14,PSS_1,2,10825,10825
pss14,PSS_1,3,1587,1587
pss14,PSS_1,4,574,574
pss14,PSS_1,5,187,187
pss14,PSS_10,1,3130,3130
pss14,PSS_10,2,5867,5867
pss14,PSS_10,3,5477,5477
pss14,PSS_10,4,4596,4596
pss14,PSS_10,5,5222,5222
pss14,PSS_11,1,11227,11227
pss14,PSS_11,2,9616,9616
pss14,PSS_11,3,2570,2570
pss14,PSS_11,4,657,657
pss14,PSS_11,5,222,222
pss14,PSS_12,1,3825,3825
pss14,PSS_12,2,4923,4923
pss14,PSS_12,3,5717,5717
pss14,PSS_12,4,6487,6487
pss14,PSS_12,5,3340,3340
pss14,PSS_13,1,3916,3916
pss14,PSS_13,2,7022,7022
pss14,PSS_13,3,5908,5908
pss14,PSS_13,4,4426,4426
pss14,PSS_13,5,3020,3020
pss14,PSS_14,1,9483,9483
pss14,PSS_14,2,10018,10018
pss14,PSS_14,3,3591,3591
pss14,PSS_14,4,944,944
pss14,PSS_14,5,256,256
pss14,PSS_2,1,12249,12249
pss14,PSS_2,2,9341,9341
pss14,PSS_2,3,1934,1934
pss14,PSS_2,4,587,587
pss14,PSS_2,5,181,181
pss14,PSS_3,1,10337,10337
pss14,PSS_3,2,10959,10959
pss14,PSS_3,3,2251,2251
pss14,PSS_3,4,584,584
pss14,PSS_3,5,161,161
pss14,PSS_4,1,3503,3503
pss14,PSS_4,2,7146,7146
pss14,PSS_4,3,4079,4079
pss14,PSS_4,4,4602,4602
pss14,PSS_4,5,4962,4962
pss14,PSS_5,1,3679,3679
pss14,PSS_5,2,6954,6954
pss14,PSS_5,3,4589,4589
pss14,PSS_5,4,4142,4142
pss14,PSS_5,5,4928,4928
pss14,PSS_6,1,5531,5531
pss14,PSS_6,2,7409,7409
pss14,PSS_6,3,3726,3726
pss14,PSS_6,4,3252,3252
pss14,PSS_6,5,4374,4374
pss14,PSS_7,1,3526,3526
pss14,PSS_7,2,8329,8329
pss14,PSS_7,3,5267,5267
pss14,PSS_7,4,3912,3912
pss14,PSS_7,5,3258,3258
pss14,PSS_8,1,7826,7826
pss14,PSS_8,2,9823,9823
pss14,PSS_8,3,4804,4804
pss14,PSS_8,4,1401,1401
pss14,PSS_8,5,438,438
pss14,PSS_9,1,4308,4308
pss14,PSS_9,2,7416,7416
pss14,PSS_9,3,4803,4803
pss14,PSS_9,4,4380,4380
pss14,PSS_9,5,3385,3385
